datetime,cpu,mem
Thu Oct 27 13:00:45 GMT 2022,43,1419723
Thu Oct 27 13:00:47 GMT 2022,4,1419113
Thu Oct 27 13:00:48 GMT 2022,4,1477733
Thu Oct 27 13:00:49 GMT 2022,4,1454759
Thu Oct 27 13:00:50 GMT 2022,4,1459231
Thu Oct 27 13:00:52 GMT 2022,44,1462167
Thu Oct 27 13:00:53 GMT 2022,44,1462540
Thu Oct 27 13:00:55 GMT 2022,44,1462628
Thu Oct 27 13:00:56 GMT 2022,44,1463720
Thu Oct 27 13:00:57 GMT 2022,34,1441155
Thu Oct 27 13:00:59 GMT 2022,34,1441828
Thu Oct 27 13:01:00 GMT 2022,34,1442080
Thu Oct 27 13:01:01 GMT 2022,34,1443613
Thu Oct 27 13:01:02 GMT 2022,29,1442276
Thu Oct 27 13:01:04 GMT 2022,29,1442364
Thu Oct 27 13:01:05 GMT 2022,29,1442356
Thu Oct 27 13:01:06 GMT 2022,29,1444006
